target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,pets_b04,eff_su2_r5_d6,high,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5382,0.5,0.04,0.11,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml,pets_b04,eff_su2_r5_d6,high,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5596,0.5,0.04,0.11,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b04__hamp_train,pets_b04,eff_su2_r5_d6,high,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5669,0.5,0.05,0.16,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b04__hamp_train,pets_b04,eff_su2_r5_d6,high,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.6071000000000001,0.5800000000000001,0.05,0.16,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b04__l2,pets_b04,eff_su2_r5_d6,high,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5338,0.52,0.02,0.1,0.9,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b04__l2,pets_b04,eff_su2_r5_d6,high,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5667,0.535,0.02,0.1,-0.5,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,pets_b04,eff_su2_r5_d6,high,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.552,0.54,0.06,0.1,0.9,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,pets_b04,eff_su2_r5_d6,high,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.6063000000000001,0.575,0.06,0.1,-0.5,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,pets_b04,eff_su2_r5_d6,high,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5829,0.5,0.06,0.11,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,pets_b04,eff_su2_r5_d6,high,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.6205,0.505,0.06,0.11,-0.5,artifact_fixed,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b05__dp_qml,pets_b05,eff_su2_r5_d6,high,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5145000000000001,0.515,0.06,0.1,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b05__dp_qml,pets_b05,eff_su2_r5_d6,high,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5511,0.5,0.08,0.13,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,pets_b05,eff_su2_r5_d6,high,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5524,0.5,0.03,0.07,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b05__hamp_train,pets_b05,eff_su2_r5_d6,high,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5864,0.53,0.03,0.1,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b05__l2,pets_b05,eff_su2_r5_d6,high,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4928999999999999,0.485,0.07,0.11,0.9,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b05__l2,pets_b05,eff_su2_r5_d6,high,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5455,0.5,0.08,0.12,-0.5,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b05__none,pets_b05,eff_su2_r5_d6,high,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5135,0.475,0.07,0.12,0.9,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b05__none,pets_b05,eff_su2_r5_d6,high,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5744,0.5549999999999999,0.07,0.12,-0.5,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b05__none,pets_b05,eff_su2_r5_d6,high,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.506,0.5,0.03,0.07,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b05__none,pets_b05,eff_su2_r5_d6,high,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5834,0.49,0.03,0.1,-0.5,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b02__dp_qml,pets_b02,eff_su2_r1_d6,low,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5445,0.475,0.03,0.07,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b02__dp_qml,pets_b02,eff_su2_r1_d6,low,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5237,0.5,0.04,0.07,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b02__hamp_train,pets_b02,eff_su2_r1_d6,low,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4639999999999999,0.5,0.01,0.06,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b02__hamp_train,pets_b02,eff_su2_r1_d6,low,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.49,0.49,0.01,0.06,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,pets_b02,eff_su2_r1_d6,low,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5118999999999999,0.495,0.04,0.05,0.9,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,pets_b02,eff_su2_r1_d6,low,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5095000000000001,0.5,0.04,0.05,-0.5,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,pets_b02,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4589999999999999,0.47,0.03,0.07,0.9,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,pets_b02,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.4835999999999999,0.485,0.03,0.08,-0.5,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,pets_b02,eff_su2_r1_d6,low,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5068999999999999,0.5,0.05,0.09,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,pets_b02,eff_su2_r1_d6,low,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5047,0.5,0.05,0.09,-0.5,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b03__dp_qml,pets_b03,eff_su2_r1_d6,low,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5114,0.5,0.03,0.09,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b03__dp_qml,pets_b03,eff_su2_r1_d6,low,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5539000000000001,0.5,0.04,0.11,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train,pets_b03,eff_su2_r1_d6,low,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5037,0.5,0.02,0.05,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train,pets_b03,eff_su2_r1_d6,low,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5516,0.485,0.05,0.08,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,pets_b03,eff_su2_r1_d6,low,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4982,0.475,0.03,0.05,0.9,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,pets_b03,eff_su2_r1_d6,low,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5453,0.52,0.04,0.05,-0.5,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5005999999999999,0.4649999999999999,0.03,0.05,0.9,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5485,0.545,0.05,0.09,-0.5,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5377000000000001,0.5,0.04,0.12,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5629,0.51,0.11,0.12,-0.5,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b04__dp_qml,pets_b04,eff_su2_r1_d6,low,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5024,0.5,0.02,0.06,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b04__dp_qml,pets_b04,eff_su2_r1_d6,low,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5261,0.5,0.02,0.08,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b04__hamp_train,pets_b04,eff_su2_r1_d6,low,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5232,0.5,0.02,0.12,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b04__hamp_train,pets_b04,eff_su2_r1_d6,low,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5544,0.5,0.02,0.12,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,pets_b04,eff_su2_r1_d6,low,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5185,0.48,0.02,0.03,0.9,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,pets_b04,eff_su2_r1_d6,low,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5357000000000001,0.5,0.02,0.04,-0.5,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,pets_b04,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5234000000000001,0.49,0.02,0.03,0.9,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,pets_b04,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5518,0.51,0.02,0.03,-0.5,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,pets_b04,eff_su2_r1_d6,low,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5546,0.5,0.02,0.03,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,pets_b04,eff_su2_r1_d6,low,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5545,0.475,0.02,0.03,-0.5,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b05__dp_qml,pets_b05,eff_su2_r1_d6,low,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5278,0.53,0.07,0.16,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b05__dp_qml,pets_b05,eff_su2_r1_d6,low,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5515,0.5,0.08,0.19,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b05__hamp_train,pets_b05,eff_su2_r1_d6,low,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4998,0.5,0.03,0.07,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b05__hamp_train,pets_b05,eff_su2_r1_d6,low,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5367,0.5,0.05,0.1,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,pets_b05,eff_su2_r1_d6,low,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4768,0.485,0.03,0.09,0.9,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,pets_b05,eff_su2_r1_d6,low,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5205000000000001,0.5,0.04,0.1,-0.5,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b05__none,pets_b05,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4962,0.475,0.03,0.08,0.9,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b05__none,pets_b05,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5359,0.5,0.07,0.09,-0.5,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b05__none,pets_b05,eff_su2_r1_d6,low,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4996,0.5,0.06,0.07,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b05__none,pets_b05,eff_su2_r1_d6,low,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5376,0.49,0.06,0.07,-0.5,artifact_fixed,,,dynanoise
