experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,learning_rate,weight_decay,credit_data_path,credit_pca_components,block_id,seed,model_seed,init_seed,data_seed,split_seed,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale,defense_structural_role,confirmatory_protocol
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b01,100261,100261,100261,90261,90261,PETSV2_CREDIT_low_eff_su2_r1_d6_b01,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b02,100262,100262,100262,90262,90262,PETSV2_CREDIT_low_eff_su2_r1_d6_b02,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b03,100263,100263,100263,90263,90263,PETSV2_CREDIT_low_eff_su2_r1_d6_b03,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b04,100264,100264,100264,90264,90264,PETSV2_CREDIT_low_eff_su2_r1_d6_b04,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b05,100265,100265,100265,90265,90265,PETSV2_CREDIT_low_eff_su2_r1_d6_b05,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b06,100266,100266,100266,90266,90266,PETSV2_CREDIT_low_eff_su2_r1_d6_b06,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b07,100267,100267,100267,90267,90267,PETSV2_CREDIT_low_eff_su2_r1_d6_b07,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b08,100268,100268,100268,90268,90268,PETSV2_CREDIT_low_eff_su2_r1_d6_b08,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b01,100261,100261,100261,90261,90261,PETSV2_CREDIT_repetition_eff_su2_r5_d6_b01,repetition,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,repetition,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b02,100262,100262,100262,90262,90262,PETSV2_CREDIT_repetition_eff_su2_r5_d6_b02,repetition,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,repetition,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b03,100263,100263,100263,90263,90263,PETSV2_CREDIT_repetition_eff_su2_r5_d6_b03,repetition,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,repetition,pets_credit_three_regime_v2
petsv2_credit_confirmatory_base,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,petsv2_b04,100264,100264,100264,90264,90264,PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04,repetition,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,repetition,pets_credit_three_regime_v2
