experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,learning_rate,weight_decay,credit_data_path,credit_pca_components,block_id,seed,model_seed,init_seed,data_seed,split_seed,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale,defense_structural_role
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_low_eff_su2_r1_d6_b01,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b02,80262,80262,80262,70262,70262,PETS_CREDIT_low_eff_su2_r1_d6_b02,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b03,80263,80263,80263,70263,70263,PETS_CREDIT_low_eff_su2_r1_d6_b03,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b04,80264,80264,80264,70264,70264,PETS_CREDIT_low_eff_su2_r1_d6_b04,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b05,80265,80265,80265,70265,70265,PETS_CREDIT_low_eff_su2_r1_d6_b05,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_high_eff_su2_r5_d6_b01,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b02,80262,80262,80262,70262,70262,PETS_CREDIT_high_eff_su2_r5_d6_b02,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b03,80263,80263,80263,70263,70263,PETS_CREDIT_high_eff_su2_r5_d6_b03,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b04,80264,80264,80264,70264,70264,PETS_CREDIT_high_eff_su2_r5_d6_b04,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high
pets_credit_defense_targets,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b05,80265,80265,80265,70265,70265,PETS_CREDIT_high_eff_su2_r5_d6_b05,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high
