experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,learning_rate,weight_decay,credit_data_path,credit_pca_components,block_id,seed,model_seed,init_seed,data_seed,split_seed,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale,defense_structural_role,source_target_id,training_defense,hamp_gamma,hamp_alpha,dp_target_epsilon,dp_noise_multiplier,dp_max_grad_norm,dp_delta,dp_optimizer,dp_batch_size,dp_epochs,dp_learning_rate,dp_scheduler,dp_loss,dp_protocol,tuning_protocol,development_block_excluded
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.001,data/credit_default/credit_default.csv.gz,6,pets_b02,80262,80262,80262,70262,70262,PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b02,l2,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b02,80262,80262,80262,70262,70262,PETS_CREDIT_low_eff_su2_r1_d6_b02__hamp_train,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b02,hamp_train,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b02,80262,80262,80262,70262,70262,PETS_CREDIT_low_eff_su2_r1_d6_b02__dp_qml,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b02,dp_qml,0.95,0.001,64.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.001,data/credit_default/credit_default.csv.gz,6,pets_b03,80263,80263,80263,70263,70263,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b03,l2,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b03,80263,80263,80263,70263,70263,PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b03,hamp_train,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b03,80263,80263,80263,70263,70263,PETS_CREDIT_low_eff_su2_r1_d6_b03__dp_qml,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b03,dp_qml,0.95,0.001,64.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.001,data/credit_default/credit_default.csv.gz,6,pets_b04,80264,80264,80264,70264,70264,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b04,l2,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b04,80264,80264,80264,70264,70264,PETS_CREDIT_low_eff_su2_r1_d6_b04__hamp_train,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b04,hamp_train,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b04,80264,80264,80264,70264,70264,PETS_CREDIT_low_eff_su2_r1_d6_b04__dp_qml,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b04,dp_qml,0.95,0.001,64.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
pets_credit_defense_training,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.001,data/credit_default/credit_default.csv.gz,6,pets_b05,80265,80265,80265,70265,70265,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b05,l2,0.95,0.001,4.0,,1.0,1e-05,rmsprop,32,30,0.05,none,unweighted_nll,watkins_faithful_core_v2,utility_only_calibrated_threshold_v2,pets_b01
