All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_training_defense_hsj_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b02__hamp_train', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='4'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.071459 queries=386
[2/40] attack_calibration member=1 distance=0.64694 queries=386
[3/40] attack_calibration member=1 distance=0.18965 queries=386
[4/40] attack_calibration member=1 distance=0.13852 queries=386
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.092139 queries=386
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.075227 queries=386
[10/40] attack_calibration member=1 distance=0.41727 queries=386
[11/40] attack_calibration member=1 distance=0.52176 queries=387
[12/40] attack_calibration member=1 distance=0.19686 queries=386
[13/40] attack_calibration member=1 distance=0.096945 queries=387
[14/40] attack_calibration member=1 distance=0.16916 queries=386
[15/40] attack_calibration member=1 distance=0.18027 queries=386
[16/40] attack_calibration member=1 distance=0.14676 queries=386
[17/40] attack_calibration member=1 distance=0.040505 queries=387
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0.066853 queries=386
[20/40] attack_calibration member=1 distance=0.18036 queries=386
[21/40] attack_calibration member=0 distance=0.14287 queries=387
[22/40] attack_calibration member=0 distance=0.091862 queries=386
[23/40] attack_calibration member=0 distance=0 queries=0
[24/40] attack_calibration member=0 distance=0.077654 queries=386
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.151 queries=386
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.57518 queries=387
[30/40] attack_calibration member=0 distance=0 queries=0
[31/40] attack_calibration member=0 distance=0.19089 queries=386
[32/40] attack_calibration member=0 distance=0.12748 queries=386
[33/40] attack_calibration member=0 distance=0.15051 queries=386
[34/40] attack_calibration member=0 distance=0.30526 queries=387
[35/40] attack_calibration member=0 distance=0.79136 queries=386
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.31713 queries=386
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.11066 queries=386
[1/40] final_evaluation member=1 distance=0.040294 queries=386
[2/40] final_evaluation member=1 distance=0.68691 queries=386
[3/40] final_evaluation member=1 distance=0.2873 queries=387
[4/40] final_evaluation member=1 distance=0.12216 queries=386
[5/40] final_evaluation member=1 distance=0.080851 queries=386
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.55655 queries=386
[8/40] final_evaluation member=1 distance=0.067831 queries=386
[9/40] final_evaluation member=1 distance=0 queries=0
[10/40] final_evaluation member=1 distance=0.17357 queries=386
[11/40] final_evaluation member=1 distance=0.10931 queries=386
[12/40] final_evaluation member=1 distance=0.086541 queries=386
[13/40] final_evaluation member=1 distance=0.70568 queries=387
[14/40] final_evaluation member=1 distance=0.44414 queries=386
[15/40] final_evaluation member=1 distance=0.16828 queries=386
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=0.099319 queries=386
[18/40] final_evaluation member=1 distance=0.052154 queries=386
[19/40] final_evaluation member=1 distance=0.23606 queries=386
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.41738 queries=386
[22/40] final_evaluation member=0 distance=0.10956 queries=386
[23/40] final_evaluation member=0 distance=0.017742 queries=386
[24/40] final_evaluation member=0 distance=0.58576 queries=388
[25/40] final_evaluation member=0 distance=0.27308 queries=387
[26/40] final_evaluation member=0 distance=0 queries=0
[27/40] final_evaluation member=0 distance=0.39368 queries=386
[28/40] final_evaluation member=0 distance=0 queries=0
[29/40] final_evaluation member=0 distance=0.067903 queries=386
[30/40] final_evaluation member=0 distance=0.49332 queries=387
[31/40] final_evaluation member=0 distance=0.45247 queries=387
[32/40] final_evaluation member=0 distance=0.21078 queries=386
[33/40] final_evaluation member=0 distance=0.050636 queries=387
[34/40] final_evaluation member=0 distance=0.12929 queries=386
[35/40] final_evaluation member=0 distance=0 queries=0
[36/40] final_evaluation member=0 distance=0 queries=0
[37/40] final_evaluation member=0 distance=0.52606 queries=392
[38/40] final_evaluation member=0 distance=0.12481 queries=387
[39/40] final_evaluation member=0 distance=0.80209 queries=387
[40/40] final_evaluation member=0 distance=0 queries=0
[DONE] /home/najeeb/qurift_satML/pets_results/defenses/PETS_CREDIT_high_eff_su2_r5_d6_b02__hamp_train/hsj/none_metrics.json
