All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b05__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'lattice_round', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='0'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.046383 queries=386
[2/40] attack_calibration member=1 distance=0.66427 queries=387
[3/40] attack_calibration member=1 distance=1.3032 queries=395
[4/40] attack_calibration member=1 distance=0.87376 queries=397
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=1.0249 queries=388
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.17343 queries=386
[10/40] attack_calibration member=1 distance=1.395 queries=387
[11/40] attack_calibration member=1 distance=1.02 queries=388
[12/40] attack_calibration member=1 distance=0.69205 queries=392
[13/40] attack_calibration member=1 distance=0.82953 queries=387
[14/40] attack_calibration member=1 distance=1.4456 queries=386
[15/40] attack_calibration member=1 distance=0.10515 queries=387
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.15175 queries=387
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0.83248 queries=387
[21/40] attack_calibration member=0 distance=0.52551 queries=386
[22/40] attack_calibration member=0 distance=0 queries=0
[23/40] attack_calibration member=0 distance=1.0786 queries=398
[24/40] attack_calibration member=0 distance=0.76407 queries=390
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.94777 queries=400
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=1.8767 queries=389
[30/40] attack_calibration member=0 distance=0 queries=0
[31/40] attack_calibration member=0 distance=1.3014 queries=394
[32/40] attack_calibration member=0 distance=0.045926 queries=386
[33/40] attack_calibration member=0 distance=1.4441 queries=386
[34/40] attack_calibration member=0 distance=0.037792 queries=387
[35/40] attack_calibration member=0 distance=0.23427 queries=388
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.61879 queries=386
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.029725 queries=386
[1/40] final_evaluation member=1 distance=0.5393 queries=386
[2/40] final_evaluation member=1 distance=0.26939 queries=390
[3/40] final_evaluation member=1 distance=1.0696 queries=386
[4/40] final_evaluation member=1 distance=1.0962 queries=396
[5/40] final_evaluation member=1 distance=0.83776 queries=393
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.052519 queries=386
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0.0214 queries=386
[10/40] final_evaluation member=1 distance=0.13225 queries=386
[11/40] final_evaluation member=1 distance=0.035884 queries=386
[12/40] final_evaluation member=1 distance=0.90429 queries=389
[13/40] final_evaluation member=1 distance=0.52614 queries=386
[14/40] final_evaluation member=1 distance=0.975 queries=395
[15/40] final_evaluation member=1 distance=0.73109 queries=396
[16/40] final_evaluation member=1 distance=0 queries=0
