All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b05__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'lattice_round', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='1'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=4.899 queries=128
[2/40] attack_calibration member=1 distance=4.899 queries=128
[3/40] attack_calibration member=1 distance=1.6301 queries=386
[4/40] attack_calibration member=1 distance=4.899 queries=128
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=1.6785 queries=418
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=1.2066 queries=450
[10/40] attack_calibration member=1 distance=1.2202 queries=386
[11/40] attack_calibration member=1 distance=4.899 queries=128
[12/40] attack_calibration member=1 distance=4.899 queries=128
[13/40] attack_calibration member=1 distance=4.899 queries=128
[14/40] attack_calibration member=1 distance=1.492 queries=450
[15/40] attack_calibration member=1 distance=4.899 queries=128
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=1.409 queries=386
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=4.899 queries=128
[21/40] attack_calibration member=0 distance=1.3792 queries=482
[22/40] attack_calibration member=0 distance=1.7768 queries=418
[23/40] attack_calibration member=0 distance=0.71274 queries=450
[24/40] attack_calibration member=0 distance=1.0817 queries=450
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=1.5954 queries=386
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.98539 queries=418
[30/40] attack_calibration member=0 distance=1.7345 queries=386
[31/40] attack_calibration member=0 distance=1.6784 queries=482
[32/40] attack_calibration member=0 distance=0.43139 queries=482
[33/40] attack_calibration member=0 distance=0.3026 queries=386
[34/40] attack_calibration member=0 distance=1.2334 queries=482
[35/40] attack_calibration member=0 distance=1.3957 queries=386
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.77362 queries=418
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.056795 queries=418
[1/40] final_evaluation member=1 distance=1.641 queries=418
[2/40] final_evaluation member=1 distance=1.9924 queries=386
[3/40] final_evaluation member=1 distance=0.93402 queries=386
[4/40] final_evaluation member=1 distance=4.899 queries=128
[5/40] final_evaluation member=1 distance=1.4581 queries=386
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=1.7322 queries=482
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0 queries=0
[10/40] final_evaluation member=1 distance=0.32688 queries=386
[11/40] final_evaluation member=1 distance=3.0923 queries=389
[12/40] final_evaluation member=1 distance=4.899 queries=128
[13/40] final_evaluation member=1 distance=1.4685 queries=386
[14/40] final_evaluation member=1 distance=1.4877 queries=418
[15/40] final_evaluation member=1 distance=1.407 queries=386
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=4.899 queries=128
[18/40] final_evaluation member=1 distance=4.899 queries=128
[19/40] final_evaluation member=1 distance=4.899 queries=128
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.67412 queries=450
