Mode,Aggregation,Attack,Query-policy contrast,AUC difference ± SD [95% CI],Checkpoints
ideal_shot,mean_api_probabilities,confidence,equal_total_20x128_minus_1x2560,"-0.002 ± 0.005 [-0.006, 0.001]",6
ideal_shot,mean_api_probabilities,confidence,equal_total_5x512_minus_1x2560,"-0.002 ± 0.003 [-0.004, -0.000]",6
ideal_shot,mean_api_probabilities,confidence,repeat_20x128_minus_1x128,"0.010 ± 0.006 [0.006, 0.016]",6
ideal_shot,mean_api_probabilities,confidence,repeat_5x128_minus_1x128,"0.009 ± 0.003 [0.007, 0.011]",6
ideal_shot,mean_api_probabilities,confidence,single_shot_2560_minus_128,"0.013 ± 0.008 [0.007, 0.018]",6
ideal_shot,mean_api_probabilities,confidence,single_shot_512_minus_128,"0.009 ± 0.009 [0.002, 0.015]",6
ideal_shot,mean_api_probabilities,correctness,equal_total_20x128_minus_1x2560,"-0.001 ± 0.003 [-0.003, 0.002]",6
ideal_shot,mean_api_probabilities,correctness,equal_total_5x512_minus_1x2560,"-0.002 ± 0.005 [-0.007, 0.001]",6
ideal_shot,mean_api_probabilities,correctness,repeat_20x128_minus_1x128,"0.019 ± 0.016 [0.007, 0.031]",6
ideal_shot,mean_api_probabilities,correctness,repeat_5x128_minus_1x128,"0.014 ± 0.012 [0.006, 0.022]",6
ideal_shot,mean_api_probabilities,correctness,single_shot_2560_minus_128,"0.020 ± 0.019 [0.005, 0.033]",6
ideal_shot,mean_api_probabilities,correctness,single_shot_512_minus_128,"0.016 ± 0.012 [0.007, 0.025]",6
ideal_shot,mean_api_probabilities,entropy,equal_total_20x128_minus_1x2560,"-0.005 ± 0.006 [-0.010, -0.001]",6
ideal_shot,mean_api_probabilities,entropy,equal_total_5x512_minus_1x2560,"-0.003 ± 0.002 [-0.004, -0.001]",6
ideal_shot,mean_api_probabilities,entropy,repeat_20x128_minus_1x128,"0.006 ± 0.006 [0.002, 0.011]",6
ideal_shot,mean_api_probabilities,entropy,repeat_5x128_minus_1x128,"0.005 ± 0.004 [0.002, 0.007]",6
ideal_shot,mean_api_probabilities,entropy,single_shot_2560_minus_128,"0.011 ± 0.008 [0.005, 0.016]",6
