Post-encoder metric,"Reps 5 − 1, mean ± SD [95% CI]"
train_train_similarity,"-0.304 ± 0.140 [-0.492, -0.202]"
train_test_similarity,"-0.308 ± 0.139 [-0.495, -0.207]"
test_test_similarity,"-0.311 ± 0.137 [-0.494, -0.208]"
within_class_similarity,"-0.360 ± 0.111 [-0.507, -0.275]"
between_class_similarity,"-0.254 ± 0.169 [-0.478, -0.128]"
class_similarity_gap,"-0.106 ± 0.065 [-0.162, -0.029]"
mmd2_train_test,"0.001 ± 0.004 [-0.002, 0.004]"
kernel_label_alignment,"-0.319 ± 0.073 [-0.381, -0.267]"
effective_rank,"51.429 ± 19.827 [27.422, 70.756]"
encoder_operation_count,"74.667 ± 25.820 [48.000, 108.000]"
