Outcome,Attack,Factor,Contrast,Effect ± SD [95% CI],Blocks
test_acc,target_model,repetitions,5 - 1,"-0.016 ± 0.009 [-0.022, -0.010]",8
test_acc,target_model,depth,6 - 2,"0.002 ± 0.003 [-0.000, 0.004]",8
test_acc,target_model,feature_map,Z - EfficientSU2,"-0.007 ± 0.004 [-0.010, -0.005]",8
test_acc,target_model,feature_map,ZZ - EfficientSU2,"-0.008 ± 0.007 [-0.013, -0.003]",8
test_acc,target_model,feature_map,ZZ - Z,"-0.001 ± 0.005 [-0.004, 0.002]",8
gap,target_model,repetitions,5 - 1,"0.050 ± 0.028 [0.033, 0.069]",8
gap,target_model,depth,6 - 2,"0.011 ± 0.009 [0.005, 0.017]",8
gap,target_model,feature_map,Z - EfficientSU2,"0.014 ± 0.012 [0.007, 0.022]",8
gap,target_model,feature_map,ZZ - EfficientSU2,"0.022 ± 0.013 [0.014, 0.031]",8
gap,target_model,feature_map,ZZ - Z,"0.009 ± 0.006 [0.005, 0.012]",8
auc,confidence,repetitions,5 - 1,"0.017 ± 0.014 [0.007, 0.025]",8
auc,confidence,depth,6 - 2,"0.005 ± 0.007 [0.001, 0.010]",8
auc,confidence,feature_map,Z - EfficientSU2,"0.008 ± 0.009 [0.003, 0.014]",8
auc,confidence,feature_map,ZZ - EfficientSU2,"0.008 ± 0.016 [-0.003, 0.017]",8
auc,confidence,feature_map,ZZ - Z,"-0.000 ± 0.010 [-0.007, 0.007]",8
auc,correctness,repetitions,5 - 1,"0.025 ± 0.014 [0.017, 0.034]",8
auc,correctness,depth,6 - 2,"0.006 ± 0.005 [0.002, 0.008]",8
auc,correctness,feature_map,Z - EfficientSU2,"0.007 ± 0.006 [0.003, 0.011]",8
auc,correctness,feature_map,ZZ - EfficientSU2,"0.011 ± 0.007 [0.007, 0.015]",8
auc,correctness,feature_map,ZZ - Z,"0.004 ± 0.003 [0.002, 0.006]",8
auc,entropy,repetitions,5 - 1,"0.017 ± 0.014 [0.007, 0.026]",8
auc,entropy,depth,6 - 2,"0.005 ± 0.007 [0.001, 0.010]",8
auc,entropy,feature_map,Z - EfficientSU2,"0.008 ± 0.009 [0.002, 0.014]",8
auc,entropy,feature_map,ZZ - EfficientSU2,"0.008 ± 0.016 [-0.003, 0.017]",8
auc,entropy,feature_map,ZZ - Z,"-0.000 ± 0.010 [-0.007, 0.007]",8
auc,loss,repetitions,5 - 1,"0.035 ± 0.014 [0.026, 0.043]",8
auc,loss,depth,6 - 2,"0.013 ± 0.007 [0.008, 0.017]",8
auc,loss,feature_map,Z - EfficientSU2,"0.014 ± 0.009 [0.008, 0.019]",8
auc,loss,feature_map,ZZ - EfficientSU2,"0.017 ± 0.012 [0.009, 0.025]",8
auc,loss,feature_map,ZZ - Z,"0.003 ± 0.007 [-0.001, 0.008]",8
auc,margin,repetitions,5 - 1,"0.017 ± 0.014 [0.007, 0.026]",8
auc,margin,depth,6 - 2,"0.005 ± 0.007 [0.001, 0.010]",8
auc,margin,feature_map,Z - EfficientSU2,"0.008 ± 0.009 [0.002, 0.014]",8
auc,margin,feature_map,ZZ - EfficientSU2,"0.008 ± 0.016 [-0.003, 0.017]",8
auc,margin,feature_map,ZZ - Z,"-0.000 ± 0.010 [-0.007, 0.006]",8
auc,max_probability,repetitions,5 - 1,"0.017 ± 0.014 [0.007, 0.026]",8
auc,max_probability,depth,6 - 2,"0.005 ± 0.007 [0.001, 0.010]",8
auc,max_probability,feature_map,Z - EfficientSU2,"0.008 ± 0.009 [0.002, 0.014]",8
auc,max_probability,feature_map,ZZ - EfficientSU2,"0.008 ± 0.016 [-0.003, 0.017]",8
auc,max_probability,feature_map,ZZ - Z,"-0.000 ± 0.010 [-0.007, 0.006]",8
auc,learned_prediction_vector_stats,repetitions,5 - 1,"0.019 ± 0.024 [0.005, 0.036]",8
auc,learned_prediction_vector_stats,depth,6 - 2,"0.009 ± 0.016 [-0.001, 0.019]",8
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,"0.019 ± 0.028 [0.001, 0.037]",8
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,"0.031 ± 0.031 [0.012, 0.051]",8
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,"0.012 ± 0.021 [-0.003, 0.023]",8
auc,global_true_class_log_odds,repetitions,5 - 1,"0.039 ± 0.022 [0.024, 0.052]",8
auc,global_true_class_log_odds,depth,6 - 2,"0.011 ± 0.007 [0.007, 0.016]",8
auc,global_true_class_log_odds,feature_map,Z - EfficientSU2,"0.015 ± 0.008 [0.010, 0.020]",8
auc,global_true_class_log_odds,feature_map,ZZ - EfficientSU2,"0.016 ± 0.013 [0.008, 0.025]",8
auc,global_true_class_log_odds,feature_map,ZZ - Z,"0.002 ± 0.006 [-0.002, 0.006]",8
auc,lira_offline,repetitions,5 - 1,"0.015 ± 0.019 [0.002, 0.027]",8
auc,lira_offline,depth,6 - 2,"0.007 ± 0.013 [-0.001, 0.016]",8
auc,lira_offline,feature_map,Z - EfficientSU2,"0.001 ± 0.022 [-0.013, 0.015]",8
auc,lira_offline,feature_map,ZZ - EfficientSU2,"0.007 ± 0.021 [-0.006, 0.021]",8
auc,lira_offline,feature_map,ZZ - Z,"0.005 ± 0.015 [-0.005, 0.015]",8
auc,lira_offline_fixed_variance,repetitions,5 - 1,"0.014 ± 0.014 [0.006, 0.023]",8
auc,lira_offline_fixed_variance,depth,6 - 2,"0.012 ± 0.011 [0.005, 0.019]",8
auc,lira_offline_fixed_variance,feature_map,Z - EfficientSU2,"-0.004 ± 0.020 [-0.018, 0.008]",8
auc,lira_offline_fixed_variance,feature_map,ZZ - EfficientSU2,"0.000 ± 0.014 [-0.009, 0.009]",8
auc,lira_offline_fixed_variance,feature_map,ZZ - Z,"0.004 ± 0.013 [-0.005, 0.012]",8
auc,lira_online,repetitions,5 - 1,"0.034 ± 0.013 [0.025, 0.042]",8
auc,lira_online,depth,6 - 2,"0.014 ± 0.018 [0.003, 0.026]",8
auc,lira_online,feature_map,Z - EfficientSU2,"0.001 ± 0.021 [-0.013, 0.014]",8
auc,lira_online,feature_map,ZZ - EfficientSU2,"0.016 ± 0.026 [-0.001, 0.032]",8
auc,lira_online,feature_map,ZZ - Z,"0.015 ± 0.026 [-0.003, 0.030]",8
auc,lira_online_fixed_variance,repetitions,5 - 1,"0.038 ± 0.017 [0.029, 0.050]",8
