Attack,Mode,Queries,Shots/query,Contrast,Feature map,AUC effect ± SD [95% CI],Model-seed blocks
confidence,exact,0,0,depth_6_minus_2_at_repetition1,eff_su2,"0.009 ± 0.011 [-0.003, 0.018]",3
confidence,exact,0,0,depth_6_minus_2_at_repetition1,z,"0.058 ± 0.015 [0.040, 0.066]",3
confidence,exact,0,0,depth_6_minus_2_at_repetition1,zz,"0.037 ± 0.010 [0.025, 0.043]",3
confidence,exact,0,0,depth_6_minus_2_at_repetition5,eff_su2,"0.033 ± 0.020 [0.009, 0.045]",3
confidence,exact,0,0,depth_6_minus_2_at_repetition5,z,"0.002 ± 0.007 [-0.005, 0.009]",3
confidence,exact,0,0,depth_6_minus_2_at_repetition5,zz,"0.010 ± 0.037 [-0.018, 0.052]",3
confidence,exact,0,0,depth_main_6_minus_2,eff_su2,"0.021 ± 0.007 [0.014, 0.029]",3
confidence,exact,0,0,depth_main_6_minus_2,z,"0.030 ± 0.011 [0.017, 0.038]",3
confidence,exact,0,0,depth_main_6_minus_2,zz,"0.023 ± 0.014 [0.012, 0.038]",3
confidence,exact,0,0,feature_z_minus_eff_su2,paired_feature_maps,"-0.004 ± 0.011 [-0.013, 0.008]",3
confidence,exact,0,0,feature_zz_minus_eff_su2,paired_feature_maps,"-0.005 ± 0.019 [-0.016, 0.017]",3
confidence,exact,0,0,feature_zz_minus_z,paired_feature_maps,"-0.001 ± 0.010 [-0.010, 0.009]",3
confidence,exact,0,0,repetition_5_minus_1_at_depth2,eff_su2,"0.027 ± 0.022 [0.007, 0.051]",3
confidence,exact,0,0,repetition_5_minus_1_at_depth2,z,"0.035 ± 0.014 [0.019, 0.047]",3
confidence,exact,0,0,repetition_5_minus_1_at_depth2,zz,"0.011 ± 0.038 [-0.022, 0.052]",3
confidence,exact,0,0,repetition_5_minus_1_at_depth6,eff_su2,"0.051 ± 0.007 [0.043, 0.057]",3
confidence,exact,0,0,repetition_5_minus_1_at_depth6,z,"-0.021 ± 0.024 [-0.046, 0.001]",3
confidence,exact,0,0,repetition_5_minus_1_at_depth6,zz,"-0.016 ± 0.026 [-0.045, 0.005]",3
confidence,exact,0,0,repetition_by_depth_interaction,eff_su2,"0.024 ± 0.029 [-0.009, 0.047]",3
confidence,exact,0,0,repetition_by_depth_interaction,z,"-0.056 ± 0.010 [-0.065, -0.046]",3
confidence,exact,0,0,repetition_by_depth_interaction,zz,"-0.027 ± 0.047 [-0.061, 0.027]",3
confidence,exact,0,0,repetition_main_5_minus_1,eff_su2,"0.039 ± 0.008 [0.030, 0.047]",3
confidence,exact,0,0,repetition_main_5_minus_1,z,"0.007 ± 0.019 [-0.013, 0.024]",3
confidence,exact,0,0,repetition_main_5_minus_1,zz,"-0.003 ± 0.022 [-0.021, 0.021]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,"0.005 ± 0.008 [-0.003, 0.013]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,"0.052 ± 0.012 [0.038, 0.061]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,"0.035 ± 0.013 [0.020, 0.042]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,"0.035 ± 0.022 [0.010, 0.048]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,"0.001 ± 0.009 [-0.007, 0.010]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,"0.001 ± 0.036 [-0.031, 0.040]",3
confidence,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,"0.020 ± 0.008 [0.011, 0.027]",3
confidence,ideal_shot,1,512,depth_main_6_minus_2,z,"0.026 ± 0.010 [0.016, 0.036]",3
confidence,ideal_shot,1,512,depth_main_6_minus_2,zz,"0.018 ± 0.012 [0.006, 0.030]",3
confidence,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,"-0.004 ± 0.009 [-0.011, 0.007]",3
confidence,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,"-0.006 ± 0.017 [-0.019, 0.013]",3
confidence,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,"-0.003 ± 0.009 [-0.012, 0.006]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,"0.012 ± 0.016 [-0.001, 0.030]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,z,"0.031 ± 0.013 [0.017, 0.042]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,zz,"0.012 ± 0.043 [-0.022, 0.060]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,"0.042 ± 0.012 [0.028, 0.049]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,z,"-0.020 ± 0.019 [-0.040, -0.002]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,"-0.021 ± 0.024 [-0.048, -0.002]",3
confidence,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,"0.030 ± 0.028 [-0.003, 0.050]",3
confidence,ideal_shot,1,512,repetition_by_depth_interaction,z,"-0.051 ± 0.007 [-0.057, -0.044]",3
confidence,ideal_shot,1,512,repetition_by_depth_interaction,zz,"-0.034 ± 0.048 [-0.074, 0.020]",3
confidence,ideal_shot,1,512,repetition_main_5_minus_1,eff_su2,"0.027 ± 0.002 [0.024, 0.029]",3
confidence,ideal_shot,1,512,repetition_main_5_minus_1,z,"0.005 ± 0.016 [-0.012, 0.020]",3
confidence,ideal_shot,1,512,repetition_main_5_minus_1,zz,"-0.005 ± 0.025 [-0.025, 0.023]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,"0.003 ± 0.004 [0.000, 0.007]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,z,"0.046 ± 0.008 [0.037, 0.052]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,zz,"0.025 ± 0.011 [0.012, 0.032]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,"0.031 ± 0.022 [0.008, 0.053]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,z,"-0.011 ± 0.022 [-0.030, 0.012]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,zz,"-0.004 ± 0.018 [-0.021, 0.015]",3
confidence,noisy_shot,1,512,depth_main_6_minus_2,eff_su2,"0.017 ± 0.010 [0.008, 0.027]",3
confidence,noisy_shot,1,512,depth_main_6_minus_2,z,"0.017 ± 0.013 [0.003, 0.030]",3
confidence,noisy_shot,1,512,depth_main_6_minus_2,zz,"0.011 ± 0.014 [-0.004, 0.024]",3
confidence,noisy_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,"-0.009 ± 0.010 [-0.019, 0.001]",3
confidence,noisy_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,"0.002 ± 0.009 [-0.008, 0.009]",3
confidence,noisy_shot,1,512,feature_zz_minus_z,paired_feature_maps,"0.010 ± 0.017 [-0.009, 0.022]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,"0.008 ± 0.015 [-0.003, 0.026]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,z,"0.032 ± 0.014 [0.016, 0.043]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,zz,"0.032 ± 0.018 [0.020, 0.053]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,"0.036 ± 0.012 [0.027, 0.050]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,z,"-0.025 ± 0.026 [-0.052, 0.000]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,zz,"0.003 ± 0.017 [-0.015, 0.019]",3
confidence,noisy_shot,1,512,repetition_by_depth_interaction,eff_su2,"0.028 ± 0.026 [0.001, 0.053]",3
confidence,noisy_shot,1,512,repetition_by_depth_interaction,z,"-0.057 ± 0.019 [-0.069, -0.036]",3
confidence,noisy_shot,1,512,repetition_by_depth_interaction,zz,"-0.029 ± 0.010 [-0.035, -0.017]",3
confidence,noisy_shot,1,512,repetition_main_5_minus_1,eff_su2,"0.022 ± 0.005 [0.017, 0.026]",3
confidence,noisy_shot,1,512,repetition_main_5_minus_1,z,"0.003 ± 0.019 [-0.018, 0.018]",3
confidence,noisy_shot,1,512,repetition_main_5_minus_1,zz,"0.018 ± 0.017 [0.003, 0.036]",3
correctness,exact,0,0,depth_6_minus_2_at_repetition1,eff_su2,"0.007 ± 0.016 [-0.010, 0.020]",3
correctness,exact,0,0,depth_6_minus_2_at_repetition1,z,"0.053 ± 0.028 [0.025, 0.080]",3
correctness,exact,0,0,depth_6_minus_2_at_repetition1,zz,"0.044 ± 0.021 [0.027, 0.068]",3
correctness,exact,0,0,depth_6_minus_2_at_repetition5,eff_su2,"0.029 ± 0.021 [0.012, 0.053]",3
correctness,exact,0,0,depth_6_minus_2_at_repetition5,z,"0.043 ± 0.014 [0.028, 0.055]",3
correctness,exact,0,0,depth_6_minus_2_at_repetition5,zz,"0.083 ± 0.021 [0.062, 0.105]",3
correctness,exact,0,0,depth_main_6_minus_2,eff_su2,"0.018 ± 0.013 [0.006, 0.032]",3
correctness,exact,0,0,depth_main_6_minus_2,z,"0.048 ± 0.021 [0.026, 0.068]",3
correctness,exact,0,0,depth_main_6_minus_2,zz,"0.064 ± 0.021 [0.045, 0.086]",3
correctness,exact,0,0,feature_z_minus_eff_su2,paired_feature_maps,"0.046 ± 0.008 [0.037, 0.054]",3
correctness,exact,0,0,feature_zz_minus_eff_su2,paired_feature_maps,"0.061 ± 0.002 [0.059, 0.064]",3
correctness,exact,0,0,feature_zz_minus_z,paired_feature_maps,"0.015 ± 0.007 [0.010, 0.022]",3
correctness,exact,0,0,repetition_5_minus_1_at_depth2,eff_su2,"0.050 ± 0.033 [0.030, 0.087]",3
correctness,exact,0,0,repetition_5_minus_1_at_depth2,z,"0.076 ± 0.006 [0.070, 0.083]",3
correctness,exact,0,0,repetition_5_minus_1_at_depth2,zz,"0.033 ± 0.013 [0.020, 0.045]",3
correctness,exact,0,0,repetition_5_minus_1_at_depth6,eff_su2,"0.072 ± 0.009 [0.062, 0.080]",3
