Post-encoder metric,"Reps 5 − 1, mean ± SD [95% CI]"
train_train_similarity,"-0.152 ± 0.142 [-0.342, -0.035]"
train_test_similarity,"-0.152 ± 0.140 [-0.340, -0.035]"
test_test_similarity,"-0.151 ± 0.138 [-0.337, -0.033]"
within_class_similarity,"-0.224 ± 0.131 [-0.391, -0.088]"
between_class_similarity,"-0.128 ± 0.144 [-0.322, -0.017]"
class_similarity_gap,"-0.096 ± 0.039 [-0.146, -0.068]"
mmd2_train_test,"0.001 ± 0.001 [0.000, 0.002]"
kernel_label_alignment,"-0.171 ± 0.105 [-0.265, -0.033]"
effective_rank,"149.580 ± 59.596 [68.957, 192.902]"
encoder_operation_count,"178.667 ± 111.116 [68.000, 324.000]"
