Outcome,Attack,Feature map,Reps,Contrast,Effect ± SD [95% CI],Blocks
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,"-0.001 ± 0.014 [-0.012, 0.010]",5
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,"0.015 ± 0.015 [0.004, 0.027]",5
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,"-0.015 ± 0.013 [-0.027, -0.007]",5
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,"0.020 ± 0.023 [0.002, 0.037]",5
auc,loss,z,1,alpha 0.5 - alpha 1.0,"-0.011 ± 0.007 [-0.018, -0.006]",5
auc,loss,z,1,alpha 2.0 - alpha 1.0,"0.015 ± 0.006 [0.010, 0.020]",5
auc,loss,z,5,alpha 0.5 - alpha 1.0,"-0.021 ± 0.018 [-0.035, -0.007]",5
auc,loss,z,5,alpha 2.0 - alpha 1.0,"-0.004 ± 0.005 [-0.007, 0.000]",5
auc,loss,zz,1,alpha 0.5 - alpha 1.0,"-0.014 ± 0.009 [-0.021, -0.007]",5
auc,loss,zz,1,alpha 2.0 - alpha 1.0,"0.018 ± 0.011 [0.010, 0.027]",5
auc,loss,zz,5,alpha 0.5 - alpha 1.0,"-0.019 ± 0.020 [-0.036, -0.005]",5
auc,loss,zz,5,alpha 2.0 - alpha 1.0,"-0.001 ± 0.015 [-0.012, 0.010]",5
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,"-0.001 ± 0.019 [-0.015, 0.014]",5
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,"0.027 ± 0.011 [0.019, 0.035]",5
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,"-0.047 ± 0.027 [-0.071, -0.032]",5
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,"0.023 ± 0.027 [0.001, 0.043]",5
gap,target_model,z,1,alpha 0.5 - alpha 1.0,"-0.009 ± 0.015 [-0.021, 0.003]",5
gap,target_model,z,1,alpha 2.0 - alpha 1.0,"0.033 ± 0.019 [0.020, 0.048]",5
gap,target_model,z,5,alpha 0.5 - alpha 1.0,"-0.028 ± 0.031 [-0.051, -0.002]",5
gap,target_model,z,5,alpha 2.0 - alpha 1.0,"0.007 ± 0.026 [-0.014, 0.026]",5
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,"-0.020 ± 0.015 [-0.031, -0.009]",5
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,"0.024 ± 0.026 [0.001, 0.043]",5
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,"-0.036 ± 0.040 [-0.069, -0.008]",5
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,"0.015 ± 0.035 [-0.013, 0.042]",5
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,"-0.000 ± 0.006 [-0.005, 0.004]",5
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,"-0.006 ± 0.010 [-0.013, 0.003]",5
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,"0.009 ± 0.007 [0.004, 0.014]",5
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,"-0.021 ± 0.014 [-0.031, -0.009]",5
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,"-0.001 ± 0.007 [-0.007, 0.003]",5
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,"-0.013 ± 0.003 [-0.016, -0.010]",5
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,"0.018 ± 0.014 [0.009, 0.030]",5
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,"-0.007 ± 0.019 [-0.020, 0.009]",5
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,"0.001 ± 0.007 [-0.005, 0.006]",5
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,"-0.007 ± 0.002 [-0.009, -0.005]",5
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,"0.021 ± 0.015 [0.009, 0.032]",5
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,"-0.019 ± 0.014 [-0.030, -0.008]",5
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,"-0.006 ± 0.010 [-0.014, 0.001]",5
valid_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,"-0.007 ± 0.033 [-0.031, 0.018]",5
valid_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,"-0.003 ± 0.014 [-0.014, 0.008]",5
valid_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,"-0.018 ± 0.024 [-0.034, 0.001]",5
valid_acc,target_model,z,1,alpha 0.5 - alpha 1.0,"-0.001 ± 0.010 [-0.009, 0.006]",5
valid_acc,target_model,z,1,alpha 2.0 - alpha 1.0,"-0.007 ± 0.018 [-0.021, 0.008]",5
valid_acc,target_model,z,5,alpha 0.5 - alpha 1.0,"0.020 ± 0.021 [0.006, 0.039]",5
valid_acc,target_model,z,5,alpha 2.0 - alpha 1.0,"-0.031 ± 0.041 [-0.061, 0.001]",5
valid_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,"-0.003 ± 0.011 [-0.012, 0.005]",5
valid_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,"-0.005 ± 0.026 [-0.020, 0.019]",5
valid_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,"0.015 ± 0.035 [-0.015, 0.040]",5
valid_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,"-0.024 ± 0.042 [-0.056, 0.008]",5
