Post-encoder metric,"Reps 5 − 1, mean ± SD [95% CI]"
train_train_similarity,"-0.316 ± 0.100 [-0.431, -0.232]"
train_test_similarity,"-0.319 ± 0.098 [-0.431, -0.235]"
test_test_similarity,"-0.323 ± 0.096 [-0.429, -0.240]"
within_class_similarity,"-0.318 ± 0.100 [-0.430, -0.233]"
between_class_similarity,"-0.322 ± 0.094 [-0.429, -0.239]"
class_similarity_gap,"0.004 ± 0.013 [-0.002, 0.011]"
mmd2_train_test,"0.000 ± 0.003 [-0.001, 0.001]"
kernel_label_alignment,"0.004 ± 0.007 [0.002, 0.008]"
effective_rank,"14.369 ± 6.753 [8.011, 19.304]"
encoder_operation_count,"74.667 ± 25.481 [48.000, 108.000]"
