sample_id,membership,true_label,partition,lira_online,lira_online_fixed_variance,lira_offline,lira_offline_fixed_variance,global_true_class_log_odds
9462945173ba3a53,1,0,final_evaluation,63.24944268977277,1.0434731412675988,61.67003240144075,-0.008661590037596145,1.333365221645527
51d0bc7e919b7681,1,0,attack_calibration,-0.38593954081299064,-4.226070428683901,0.18892380264973174,-0.2292294644988524,1.3078117202712634
9a7292eef1816cb7,1,0,unused,-79.9192643471827,-1.2816994885854514,5.469634487335979,1.085014717183137,1.6696994584500229
470d6a14daf8d150,1,0,final_evaluation,-1.8383584523574286,-4.0039059844224365,-0.6397418882368133,-0.6477387179635024,1.1656062325773962
b1865a02a973295e,1,0,final_evaluation,-0.6447695242418701,-0.04075226347331329,-1.6522830974416327,-1.0412743446893575,1.1137943045762664
2511f6e0a190dee4,1,0,attack_calibration,1.289949329205,1.5145447868107016,0.2266288437587547,0.42096460917834766,1.2018976219305513
61c2c70449c97c00,1,0,final_evaluation,0.7119965814204143,0.0419242712983654,-1.0299266118553831,-1.058622000634796,1.1408812904956471
a8090ec830b657db,1,0,attack_calibration,-0.19643084019943924,-0.05134399274879975,-1.7203760220396354,-1.0858928389520983,1.1523399633639597
430c9863b0be2f59,1,0,final_evaluation,-0.6231363004350503,-0.07401669436048985,-1.5328699091603504,-1.0507685600205556,1.1985289154656416
307b68bf4345c687,1,1,unused,-0.09281833205686363,-0.01293747566620218,-1.1498939839958582,-0.9629199784746125,-1.0662280349619901
01390b8728342c2e,1,1,unused,-0.32677388922082207,-0.025300342637805562,-1.577806657319742,-1.0426746615858593,-1.2126972008083714
e50a3909a8f17e31,1,0,unused,-2.1341995922715586,0.45136884848963676,-0.1914686832429464,-0.27108715073966216,1.2659607806340363
884d3bed3ee9a76b,1,1,unused,0.045767009698684635,0.024660677678564946,-1.8637227450911316,-1.0655789562309275,-1.0951093307686541
6534b546dd128466,1,0,final_evaluation,1.5100660116426672,0.7821653877296222,0.27159919902535523,-0.1792790334914145,1.2307775223813244
fa2cdb6626f2f7a5,1,0,attack_calibration,-1.8611942861206745,1.0245465525922208,2.10321091300489,2.2026653777496747,1.6772080922271166
b9405c8d1f87a506,1,0,attack_calibration,0.7069192847688064,-0.02584511282970592,-1.1386373458587777,-1.0860779436499883,1.2476079400136537
94db41731fc94db4,1,0,unused,0.37512864184503236,0.011000683720075566,-1.2850379688141271,-1.033329731935453,1.1607032914353108
