target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,b95d8aa7591c7887c05c,1,0,0,0.2195725440979004,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,66fa33821884d4568b02,1,0,0,0.3348675072193146,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,6bf07a3ff23f9e3249c5,1,0,0,0.3748319745063782,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,01e7168ae2a624ff9916,1,0,0,0.36688703298568726,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,ae429a6a1d645aacb94e,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,402e2e33d278085f817f,1,0,0,0.21639208495616913,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,b3763b5a5d752cf2fa24,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,108acbd92e651db6ac49,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,16e3ff8c6f696f231824,1,0,0,0.21045590937137604,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,6cab59b4d007e6d2fd01,1,0,0,0.30262964963912964,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,d9170d275d5e05922e82,1,0,0,0.6495912671089172,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,f97851146238bb9a3754,1,0,0,0.3178088068962097,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,6992a9babb7ae6302cb5,1,0,0,1.2319000959396362,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b02__none,lattice_round,attack_calibration,eaab06e0e9770f0cb322,1,0,0,0.34349897503852844,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
