target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,0.06297730654478073,True,True,False,4.898979663848877,32,256,30,90,408,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,fb40711278aca2b43c69,1,0,0,0.046162962913513184,True,True,False,4.898979663848877,32,192,32,60,316,5,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,4dde24d981dd8981f71f,1,0,0,0.9428156018257141,True,True,False,4.898979663848877,32,256,36,80,404,7,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,11ccb38ba9653d61e950,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,78edbc6916b12b570866,1,0,0,0.11509796231985092,True,True,False,4.898979663848877,32,128,14,40,214,3,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,e07f107ec2deef516f4f,1,0,0,0.2815205752849579,True,True,False,4.898979663848877,32,128,25,40,225,3,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,b91b8614dbf7826436cf,1,0,0,0.13657914102077484,True,True,False,4.898979663848877,32,128,15,40,215,3,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,eb849709f12c60edd50b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,006df97946d214e0111f,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.1423063576221466,True,True,False,4.898979663848877,32,256,39,80,407,7,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,88b1c0733571d25bdfa5,1,0,0,0.03471115976572037,True,True,False,4.898979663848877,32,256,22,90,400,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,92516ca36411fad7d9c9,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,f1068bd99413d081a271,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,a6dfd0dc4ba32e6c00e6,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,83a947285ea3ca8494da,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,f929be357f68bdda4236,1,0,0,0.07378468662500381,True,True,False,4.898979663848877,64,256,22,80,422,7,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,6f47824d3363865de61a,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,073dbbd888ef767c75de,1,0,0,0.13823851943016052,True,True,False,4.898979663848877,32,192,44,60,328,5,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,a5b1091e7ec67f7a06ed,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,14865093b1485a5c3a41,1,0,0,0.25796690583229065,True,True,False,4.898979663848877,32,192,21,60,305,5,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,fd49901b4cc63c783db2,0,0,0,0.17388100922107697,True,True,False,4.898979663848877,32,256,41,80,409,7,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,439a4b80869e58e17f79,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,249e820049d9be3790b9,0,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,46d7ad3cd76693d3a5e7,0,0,0,0.0720137432217598,True,True,False,4.898979663848877,32,224,28,70,354,6,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,ef24ebed9137bf1cf697,0,0,0,0.1542520821094513,True,True,False,4.898979663848877,64,256,36,80,436,7,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,62a1527c10e3ed85eaa6,0,0,0,0.5286306738853455,True,True,False,4.898979663848877,32,96,14,30,172,2,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,b5013191fc9f416c8e4b,0,0,0,0.5000121593475342,True,True,False,4.898979663848877,32,96,12,30,170,2,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,76a169068a2ab6394f63,0,0,0,1.0915032625198364,True,True,False,4.898979663848877,32,32,10,10,84,0,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,fe3f9ee420efa6823afe,0,0,0,0.23409977555274963,True,True,False,4.898979663848877,32,192,29,60,313,5,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,6cc8653639d78291af88,0,0,0,0.36679592728614807,True,True,False,4.898979663848877,32,256,19,90,397,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,dynanoise,attack_calibration,2810a2f0f8ca0deedc8e,0,0,0,1.4446606636047363,True,True,False,4.898979663848877,32,32,10,10,84,0,False,geometric_step_search_failed
